pais;pais_iso;indicador;anio;frecuencia
Afghanistan, Islamic Rep. of;AFG;Drought;1980;0.0
Afghanistan, Islamic Rep. of;AFG;Extreme temperature;1980;0.0
Afghanistan, Islamic Rep. of;AFG;Flood;1980;1.0
Afghanistan, Islamic Rep. of;AFG;Landslide;1980;0.0
Afghanistan, Islamic Rep. of;AFG;Storm;1980;0.0
Afghanistan, Islamic Rep. of;AFG;TOTAL;1980;1.0
Afghanistan, Islamic Rep. of;AFG;Wildfire;1980;0.0
Albania;ALB;Drought;1980;0.0
Albania;ALB;Extreme temperature;1980;0.0
Albania;ALB;Flood;1980;0.0
Albania;ALB;Landslide;1980;0.0
Albania;ALB;Storm;1980;0.0
Albania;ALB;TOTAL;1980;0.0
Albania;ALB;Wildfire;1980;0.0
Algeria;DZA;Drought;1980;0.0
Algeria;DZA;Extreme temperature;1980;0.0
Algeria;DZA;Flood;1980;0.0
Algeria;DZA;Landslide;1980;0.0
Algeria;DZA;Storm;1980;0.0
Algeria;DZA;TOTAL;1980;0.0
Algeria;DZA;Wildfire;1980;0.0
American Samoa;ASM;Flood;1980;0.0
American Samoa;ASM;Storm;1980;0.0
American Samoa;ASM;TOTAL;1980;0.0
Angola;AGO;Drought;1980;0.0
Angola;AGO;Flood;1980;0.0
Angola;AGO;Landslide;1980;0.0
Angola;AGO;TOTAL;1980;0.0
Anguilla;AIA;Flood;1980;0.0
Anguilla;AIA;Storm;1980;0.0
Anguilla;AIA;TOTAL;1980;0.0
Antigua and Barbuda;ATG;Drought;1980;0.0
Antigua and Barbuda;ATG;Storm;1980;0.0
Antigua and Barbuda;ATG;TOTAL;1980;0.0
Argentina;ARG;Drought;1980;0.0
Argentina;ARG;Extreme temperature;1980;0.0
Argentina;ARG;Flood;1980;2.0
Argentina;ARG;Landslide;1980;0.0
Argentina;ARG;Storm;1980;0.0
Argentina;ARG;TOTAL;1980;2.0
Argentina;ARG;Wildfire;1980;0.0
Armenia, Rep. of;ARM;Drought;1980;0.0
Armenia, Rep. of;ARM;Extreme temperature;1980;0.0
Armenia, Rep. of;ARM;Flood;1980;0.0
Armenia, Rep. of;ARM;Landslide;1980;0.0
Armenia, Rep. of;ARM;Storm;1980;0.0
Armenia, Rep. of;ARM;TOTAL;1980;0.0
Australia;AUS;Drought;1980;0.0
Australia;AUS;Extreme temperature;1980;0.0
Australia;AUS;Flood;1980;0.0
Australia;AUS;Landslide;1980;0.0
Australia;AUS;Storm;1980;5.0
Australia;AUS;TOTAL;1980;6.0
Australia;AUS;Wildfire;1980;1.0
Austria;AUT;Extreme temperature;1980;0.0
