;pais;codigo_iso;anio;valor;info_codigo
0;Afghanistan;AFG;1990;;1.1
1;Albania;ALB;1990;100.0;1.1
2;Algeria;DZA;1990;92.99;1.1
3;American Samoa;ASM;1990;;1.1
4;Andorra;ADO;1990;100.0;1.1
5;Angola;AGO;1990;47.83;1.1
6;Antigua and Barbuda;ATG;1990;81.76;1.1
7;Argentina;ARG;1990;90.76;1.1
8;Armenia;ARM;1990;97.25;1.1
9;Aruba;ABW;1990;88.96;1.1
10;Australia;AUS;1990;100.0;1.1
11;Austria;AUT;1990;100.0;1.1
12;Azerbaijan;AZE;1990;93.82;1.1
13;Bahamas, The;BHS;1990;90.27;1.1
14;Bahrain;BHR;1990;;1.1
15;Bangladesh;BGD;1990;7.58;1.1
16;Barbados;BRB;1990;;1.1
17;Belarus;BLR;1990;100.0;1.1
18;Belgium;BEL;1990;100.0;1.1
19;Belize;BLZ;1990;77.62;1.1
20;Benin;BEN;1990;7.23;1.1
21;Bermuda;BMU;1990;100.0;1.1
22;Bhutan;BTN;1990;;1.1
23;Bolivia;BOL;1990;54.75;1.1
24;Bosnia and Herzegovina;BIH;1990;96.27;1.1
25;Botswana;BWA;1990;5.81;1.1
26;Brazil;BRA;1990;87.48;1.1
27;British Virgin Islands;VGB;1990;;1.1
28;Brunei Darussalam;BRN;1990;100.0;1.1
29;Bulgaria;BGR;1990;100.0;1.1
30;Burkina Faso;BFA;1990;2.75;1.1
31;Burundi;BDI;1990;1.45;1.1
32;Cambodia;KHM;1990;;1.1
33;Cameroon;CMR;1990;30.06;1.1
34;Canada;CAN;1990;100.0;1.1
35;Cape Verde;CPV;1990;28.26;1.1
36;Cayman Islands;CYM;1990;100.0;1.1
37;Central African Republic;CAF;1990;0.4;1.1
38;Chad;TCD;1990;;1.1
39;Channel Islands;CHI;1990;100.0;1.1
40;Chile;CHL;1990;92.26;1.1
41;China;CHN;1990;89.39;1.1
42;Colombia;COL;1990;89.9;1.1
43;Comoros;COM;1990;14.42;1.1
44;Congo, Dem. Rep.;ZAR;1990;;1.1
45;Congo, Rep.;COG;1990;17.73;1.1
46;Cook Islands;COK;1990;95.33;1.1
47;Costa Rica;CRI;1990;97.24;1.1
48;Cote d'Ivoire;CIV;1990;97.24;1.1
49;Croatia;HRV;1990;100.0;1.1
50;Cuba;CUB;1990;92.07;1.1
51;Curacao;CUW;1990;92.07;1.1
52;Cyprus;CYP;1990;100.0;1.1
53;Czech Republic;CZE;1990;100.0;1.1
54;Denmark;DNK;1990;100.0;1.1
55;Djibouti;DJI;1990;63.36;1.1
56;Dominica;DMA;1990;65.47;1.1
57;Dominican Republic;DOM;1990;79.11;1.1
58;Ecuador;ECU;1990;88.81;1.1
59;Egypt, Arab Rep.;EGY;1990;93.8;1.1
60;El Salvador;SLV;1990;72.17;1.1
