;pais;codigo_iso;anio;valor;info_codigo
0;Afghanistan;AFG;1990;1.88;6.1
1;Albania;ALB;1990;7.91;6.1
2;Algeria;DZA;1990;3.5;6.1
3;American Samoa;ASM;1990;;6.1
4;Andorra;ADO;1990;;6.1
5;Angola;AGO;1990;4.61;6.1
6;Antigua and Barbuda;ATG;1990;3.95;6.1
7;Argentina;ARG;1990;5.44;6.1
8;Armenia;ARM;1990;24.37;6.1
9;Aruba;ABW;1990;;6.1
10;Australia;AUS;1990;7.42;6.1
11;Austria;AUT;1990;4.36;6.1
12;Azerbaijan;AZE;1990;15.57;6.1
13;Bahamas, The;BHS;1990;4.34;6.1
14;Bahrain;BHR;1990;12.48;6.1
15;Bangladesh;BGD;1990;3.9;6.1
16;Barbados;BRB;1990;4.65;6.1
17;Belarus;BLR;1990;23.13;6.1
18;Belgium;BEL;1990;6.62;6.1
19;Belize;BLZ;1990;8.56;6.1
20;Benin;BEN;1990;9.55;6.1
21;Bermuda;BMU;1990;2.94;6.1
22;Bhutan;BTN;1990;30.02;6.1
23;Bolivia;BOL;1990;4.3;6.1
24;Bosnia and Herzegovina;BIH;1990;47.11;6.1
25;Botswana;BWA;1990;4.56;6.1
26;Brazil;BRA;1990;3.81;6.1
27;British Virgin Islands;VGB;1990;;6.1
28;Brunei Darussalam;BRN;1990;3.65;6.1
29;Bulgaria;BGR;1990;14.6;6.1
30;Burkina Faso;BFA;1990;12.92;6.1
31;Burundi;BDI;1990;9.79;6.1
32;Cambodia;KHM;1990;14.28;6.1
33;Cameroon;CMR;1990;6.24;6.1
34;Canada;CAN;1990;10.17;6.1
35;Cape Verde;CPV;1990;4.03;6.1
36;Cayman Islands;CYM;1990;;6.1
37;Central African Republic;CAF;1990;11.19;6.1
38;Chad;TCD;1990;6.78;6.1
39;Channel Islands;CHI;1990;;6.1
40;Chile;CHL;1990;4.83;6.1
41;China;CHN;1990;21.18;6.1
42;Colombia;COL;1990;3.93;6.1
43;Comoros;COM;1990;3.35;6.1
44;Congo, Dem. Rep.;ZAR;1990;11.14;6.1
45;Congo, Rep.;COG;1990;2.63;6.1
46;Cook Islands;COK;1990;;6.1
47;Costa Rica;CRI;1990;3.11;6.1
48;Cote d'Ivoire;CIV;1990;4.64;6.1
49;Croatia;HRV;1990;4.9;6.1
50;Cuba;CUB;1990;5.03;6.1
51;Curacao;CUW;1990;;6.1
52;Cyprus;CYP;1990;4.15;6.1
53;Czech Republic;CZE;1990;10.12;6.1
54;Denmark;DNK;1990;4.25;6.1
55;Djibouti;DJI;1990;3.53;6.1
56;Dominica;DMA;1990;2.03;6.1
57;Dominican Republic;DOM;1990;4.4;6.1
58;Ecuador;ECU;1990;3.47;6.1
59;Egypt, Arab Rep.;EGY;1990;3.98;6.1
60;El Salvador;SLV;1990;4.34;6.1
61;Equatorial Guinea;GNQ;1990;12.66;6.1
62;Eritrea;ERI;1990;;6.1
63;Estonia;EST;1990;17.99;6.1
64;Ethiopia;ETH;1990;30.63;6.1
65;Faeroe Islands;FRO;1990;;6.1
66;Falkland Islands;FLK;1990;;6.1
67;Fiji;FJI;1990;4.56;6.1
68;Finland;FIN;1990;8.33;6.1
69;France;FRA;1990;5.45;6.1
70;French Guyana;GUF;1990;;6.1
71;French Polynesia;PYF;1990;;6.1
72;Gabon;GAB;1990;2.66;6.1
73;Gambia, The;GMB;1990;4.77;6.1
74;Georgia;GEO;1990;13.5;6.1
75;Germany;DEU;1990;5.88;6.1
76;Ghana;GHA;1990;7.89;6.1
77;Gibraltar;GIB;1990;;6.1
78;Greece;GRC;1990;4.18;6.1
79;Greenland;GRL;1990;;6.1
80;Grenada;GRD;1990;2.24;6.1
81;Guadeloupe;GLP;1990;;6.1
82;Guam;GUM;1990;;6.1
83;Guatemala;GTM;1990;3.91;6.1
84;Guinea;GIN;1990;15.51;6.1
85;Guinea-Bissau;GNB;1990;12.63;6.1
86;Guyana;GUY;1990;11.58;6.1
87;Haiti;HTI;1990;4.39;6.1
88;Honduras;HND;1990;6.34;6.1
89;Hong Kong SAR, China;HKG;1990;2.34;6.1
90;Hungary;HUN;1990;6.84;6.1
91;Iceland;ISL;1990;12.99;6.1
92;India;IND;1990;8.29;6.1
93;Indonesia;IDN;1990;5.08;6.1
94;Iran, Islamic Rep.;IRN;1990;5.08;6.1
95;Iraq;IRQ;1990;4.17;6.1
96;Ireland;IRL;1990;5.55;6.1
97;Isle of Man;IMY;1990;;6.1
98;Israel;ISR;1990;5.2;6.1
99;Italy;ITA;1990;3.52;6.1
100;Jamaica;JAM;1990;6.6;6.1
101;Japan;JPN;1990;5.03;6.1
102;Jordan;JOR;1990;6.13;6.1
103;Kazakhstan;KAZ;1990;13.83;6.1
104;Kenya;KEN;1990;8.05;6.1
105;Kiribati;KIR;1990;3.12;6.1
106;Korea, Dem. Rep.;PRK;1990;;6.1
107;Korea, Rep.;KOR;1990;7.51;6.1
108;Kosovo;KSV;1990;;6.1
109;Kuwait;KWT;1990;4.8;6.1
110;Kyrgyz Republic;KGZ;1990;20.54;6.1
111;Lao PDR;LAO;1990;8.05;6.1
112;Latvia;LVA;1990;8.06;6.1
113;Lebanon;LBN;1990;3.91;6.1
114;Lesotho;LSO;1990;17.43;6.1
115;Liberia;LBR;1990;20.69;6.1
116;Libya;LBY;1990;4.65;6.1
117;Liechtenstein;LIE;1990;;6.1
118;Lithuania;LTU;1990;11.27;6.1
119;Luxembourg;LUX;1990;6.58;6.1
120;Macao SAR, China;MAC;1990;1.17;6.1
121;Macedonia, FYR;MKD;1990;5.4;6.1
122;Madagascar;MDG;1990;4.44;6.1
123;Malawi;MWI;1990;9.14;6.1
124;Malaysia;MYS;1990;4.8;6.1
125;Maldives;MDV;1990;2.62;6.1
126;Mali;MLI;1990;5.69;6.1
127;Malta;MLT;1990;4.95;6.1
128;Marshall Islands;MHL;1990;;6.1
129;Martinique;MTQ;1990;;6.1
130;Mauritania;MRT;1990;4.01;6.1
131;Mauritius;MUS;1990;3.48;6.1
132;Mayotte;MYT;1990;;6.1
133;Mexico;MEX;1990;4.82;6.1
134;Micronesia, Fed. Sts.;FSM;1990;;6.1
135;Moldova;MDA;1990;17.4;6.1
136;Monaco;MCO;1990;;6.1
137;Mongolia;MNG;1990;12.75;6.1
138;Montenegro;MNE;1990;;6.1
139;Montserrat;MSR;1990;;6.1
140;Morocco;MAR;1990;3.25;6.1
141;Mozambique;MOZ;1990;49.44;6.1
142;Myanmar;MMR;1990;14.89;6.1
143;Namibia;NAM;1990;;6.1
144;Nepal;NPL;1990;10.79;6.1
145;Netherlands;NLD;1990;5.69;6.1
146;Netherlands Antilles;ANT;1990;;6.1
147;New Caledonia;NCL;1990;;6.1
148;New Zealand;NZL;1990;6.66;6.1
149;Nicaragua;NIC;1990;6.75;6.1
150;Niger;NER;1990;6.58;6.1
151;Nigeria;NGA;1990;9.6;6.1
152;Northern Mariana Islands;MNP;1990;;6.1
153;Norway;NOR;1990;4.8;6.1
154;Oman;OMN;1990;2.78;6.1
155;Pakistan;PAK;1990;5.46;6.1
156;Palau;PLW;1990;;6.1
157;Panama;PAN;1990;3.28;6.1
158;Papua New Guinea;PNG;1990;13.19;6.1
159;Paraguay;PRY;1990;5.06;6.1
