pais,energia_tipo,anio,energia_cons,energia_produccion,pbi,poblacion,energia_intensidad_per_capita,energia_intensidad_by_pbi,co2_emision_co2
World,all_energy_types,1980,292.9,296.34,27770.91,4298126.52,68.15,10.55,4946.63
World,coal,1980,78.66,80.11,27770.91,4298126.52,68.15,10.55,1409.79
World,natural_gas,1980,53.87,54.76,27770.91,4298126.52,68.15,10.55,1081.59
World,petroleum_n_other_liquids,1980,132.06,133.11,27770.91,4298126.52,68.15,10.55,2455.24
World,nuclear,1980,7.58,7.58,27770.91,4298126.52,68.15,10.55,0.0
World,renewables_n_other,1980,20.7,20.78,27770.91,4298126.52,68.15,10.55,0.0
Afghanistan,all_energy_types,1980,0.03,0.07,,13356.5,1.99,0.0,
Afghanistan,coal,1980,0.0,0.0,,13356.5,1.99,0.0,
Afghanistan,natural_gas,1980,0.0,0.06,,13356.5,1.99,0.0,
Afghanistan,petroleum_n_other_liquids,1980,0.01,0.0,,13356.5,1.99,0.0,
Afghanistan,nuclear,1980,,,,13356.5,1.99,0.0,0.0
Afghanistan,renewables_n_other,1980,0.01,0.01,,13356.5,1.99,0.0,0.0
Albania,all_energy_types,1980,0.16,0.16,,2682.7,60.75,0.0,
Albania,coal,1980,0.02,0.01,,2682.7,60.75,0.0,
Albania,natural_gas,1980,0.01,0.01,,2682.7,60.75,0.0,
Albania,petroleum_n_other_liquids,1980,0.1,0.1,,2682.7,60.75,0.0,
Albania,nuclear,1980,,,,2682.7,60.75,0.0,0.0
Albania,renewables_n_other,1980,0.03,0.03,,2682.7,60.75,0.0,0.0
Algeria,all_energy_types,1980,0.78,2.8,,19221.7,40.62,0.0,
Algeria,coal,1980,0.0,0.0,,19221.7,40.62,0.0,
Algeria,natural_gas,1980,0.54,0.48,,19221.7,40.62,0.0,
Algeria,petroleum_n_other_liquids,1980,0.23,2.32,,19221.7,40.62,0.0,
Algeria,nuclear,1980,,,,19221.7,40.62,0.0,0.0
Algeria,renewables_n_other,1980,0.0,0.0,,19221.7,40.62,0.0,0.0
American Samoa,all_energy_types,1980,0.01,0.0,,32.65,180.52,0.0,
American Samoa,coal,1980,0.0,0.0,,32.65,180.52,0.0,
American Samoa,natural_gas,1980,0.0,0.0,,32.65,180.52,0.0,
American Samoa,petroleum_n_other_liquids,1980,0.01,0.0,,32.65,180.52,0.0,
American Samoa,nuclear,1980,,,,32.65,180.52,0.0,0.0
American Samoa,renewables_n_other,1980,0.0,0.0,,32.65,180.52,0.0,0.0
Angola,all_energy_types,1980,0.06,0.34,,8341.29,7.0,0.0,
Angola,coal,1980,0.0,0.0,,8341.29,7.0,0.0,
Angola,natural_gas,1980,0.01,0.01,,8341.29,7.0,0.0,
Angola,petroleum_n_other_liquids,1980,0.04,0.32,,8341.29,7.0,0.0,
Angola,nuclear,1980,,,,8341.29,7.0,0.0,0.0
Angola,renewables_n_other,1980,0.01,0.01,,8341.29,7.0,0.0,0.0
Antarctica,all_energy_types,1980,0.0,0.0,,,0.0,0.0,
Antarctica,coal,1980,0.0,0.0,,,0.0,0.0,
Antarctica,natural_gas,1980,0.0,0.0,,,0.0,0.0,
Antarctica,petroleum_n_other_liquids,1980,0.0,0.0,,,0.0,0.0,
Antarctica,nuclear,1980,,,,,0.0,0.0,0.0
Antarctica,renewables_n_other,1980,0.0,0.0,,,0.0,0.0,0.0
Antigua and Barbuda,all_energy_types,1980,0.01,0.0,,,0.0,0.0,
Antigua and Barbuda,coal,1980,0.0,0.0,,,0.0,0.0,
Antigua and Barbuda,natural_gas,1980,0.0,0.0,,,0.0,0.0,
Antigua and Barbuda,petroleum_n_other_liquids,1980,0.01,0.0,,,0.0,0.0,
Antigua and Barbuda,nuclear,1980,,,,,0.0,0.0,0.0
