country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,139,141,146,150,152,152,151,152,153,154,155,159,164,171,179,185,192,200,209,219,229,240,254,268,282,295,311,330,348,365
Angola,84.1,87.4,91.8,96.1,99.7,102,104,108,116,124,128,130,136,143,152,157,164,170,181,194,208,223,238,252,265,285,306,330,355,379
Albania,104,110,111,111,112,120,129,137,144,155,155,155,165,173,173,173,171,167,170,166,161,170,177,185,193,203,212,221,229,237
Andorra,3.8,4.06,4.35,4.69,4.89,4.95,5.07,5.24,5.43,5.61,5.82,6.07,6.33,6.64,7.02,7.17,7.5,7.76,8.14,8.57,8.81,8.49,8.61,9.03,9.5,9.97,10.2,10.6,11,11.4
United Arab Emirates,11.6,12.7,13.8,15,16.4,17.8,19.2,20.5,21.9,23.5,24.6,26.2,27.7,30.7,34.1,35.6,38,40.7,43.5,47.2,51.2,55.8,60.7,65,66.2,73,80.4,88.4,97.8,108
Argentina,1750,1810,1900,1970,2030,2100,2190,2280,2390,2490,2510,2600,2680,2800,2860,2930,3060,3220,3290,3450,3530,3680,3800,3900,3960,4060,4220,4290,4340,4420
Armenia,168,169,179,178,169,171,174,176,185,188,198,205,205,210,211,216,224,224,236,236,231,231,226,220,218,222,220,229,235,241
American Samoa,1.34,1.38,1.43,1.5,1.6,1.7,1.77,1.83,1.92,1.97,2.08,2.12,2.2,2.26,2.33,2.4,2.52,2.58,2.64,2.7,2.75,2.89,3.05,3.2,3.31,3.42,3.52,3.61,3.7,3.79
Antigua and Barbuda,1.2,1.27,1.29,1.38,1.38,1.41,1.45,1.48,1.52,1.56,1.63,1.68,1.76,1.81,1.87,1.95,2.04,2.15,2.23,2.32,2.42,2.54,2.67,2.8,2.95,3.08,3.21,3.3,3.41,3.51
Australia,2070,2160,2260,2330,2450,2550,2650,2750,2820,2910,3060,3160,3340,3440,3600,3680,3830,4050,4190,4370,4290,4440,4520,4650,4850,4810,4860,4960,5150,5280
