Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Afghanistan,AFG,39639.42,37341.42,24683.11,25664.46,25323.95,25008.76,24521.55,23800.61,23255.34,20630.12,20834.69,21293.62,27537.69,29973.07,26261.43,32417.96,38571.43,45095.5,71744.09,94612.81,131933.66,176255.1,161457.19,148638.31,145971.31
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Albania,ALB,80057.64499,58870.4692,42747.26987,39262.01008,39209.13079,39651.04753,42861.1927,34537.0388,38503.98994,61199.20922,61700.91347,63173.36916,71985.78767,70449.14833,79323.86642,76150.14642,69484.84456,68985.27558,72127.21777,76380.46229,78905.56324,81413.45644,74604.84041,81753.4246,85709.53192
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Algeria,DZA,458040.4417,499870.5931,509029.8461,519993.5262,495940.9463,495638.2407,497152.7319,487243.7486,511261.4524,540859.8675,557786.3463,567020.3755,616276.3191,680884.4209,711797.1562,779688.5047,804447.2303,875230.4434,906123.2077,976334.0015,1021430.652,1077834.092,1161430.001,1227578.803,1311920.466
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,American Samoa,ASM,306,331.2,313.2,342,370.8,417.6,432,457.2,482.4,500.4,525.6,532.8,561.96,595.44,598.68,602.28,603.36,582.12,599.76,569.88,510.48,490.68,483.48,487.83,485.16
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Andorra,AND,6670.69,6670.69,6673.43,6717.95,6681.18,7031.32,7468.97,7657.94,8107.87,8504.9,8726.09,8776.12,8962.05,9087.87,9616.47,9827.6,9458.98,9400.12,9411.1,9068.16,9128.96,8665.62,8664.13,8488.88,8250.47
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Angola,AGO,187451.7027,192774.549,195191.5468,203887.4885,205113.8859,204638.5585,211454.6689,214373.7059,210244.6419,223692.476,224833.1697,233109.8034,244606.2956,268912.2606,283879.0658,269964.2778,304594.7242,327228.5231,357847.0939,380224.2001,402508.3175,423581.5705,434033.1212,461798.8484,470738.2944
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Anguilla,AIA,615.39,621.36,674.75,737.86,768.57,790.64,813.17,839.66,857.46,916.82,951.18,1034.1,979.56,1081.84,1289.91,1303.91,1567.49,1562.09,1580.28,1550.77,1565.74,1456.16,1454.72,1422.83,1438.45
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Antigua and Barbuda,ATG,2551.9,2597.5,2597.5,2641.8,2601.5,2727.2,2803.9,2832.7,2950.4,3064.2,3136,3182.8,3274.3,3544.3,3661.5,3759.6,3989.8,4139.74,4244.17,4605.39,4355.25,4301.15,4449.75,4456.95,4528.41
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Argentina,ARG,1184750.603,1216660.466,1270134.611,1357095.703,1513358.844,1551133.745,1613364.037,1713772.544,1786683.741,1788898.683,1798155.866,1739062.994,1659976.393,1777076.332,1874538.17,1929296.532,2065155.889,2097408.442,2203584.685,2092699.088,2181084.404,2250652.859,2281795.952,2278981.794,2390299.135
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Armenia,ARM,259671.993,245692.519,122876.2579,77177.88022,44018.9685,47003.90569,29428.84973,40510.80691,40283.37994,39457.3243,45356.7767,45878.45198,46138.15919,53646.76631,60484.14565,70126.34605,72798.82236,82041.97885,90912.84509,78449.83006,74672.12228,82083.09323,86677.14326,86396.04151,82616.031
