,codigo_iso,pais
0,AFG,Afghanistan
9,ALB,Albania
17,DZA,Algeria
76,AGO,Angola
90,ATA,Antarctica
92,ARG,Argentina
328,ARM,Armenia
336,AUS,Australia
822,AUT,Austria
925,AZE,Azerbaijan
939,BHR,Bahrain
947,BGD,Bangladesh
1004,BLR,Belarus
1028,BEL,Belgium
1097,BEN,Benin
1099,BTN,Bhutan
1104,BOL,Bolivia
1130,BIH,Bosnia and Herzegovina
1150,BWA,Botswana
1152,BRA,Brazil
3512,BRN,Brunei Darussalam
3516,BGR,Bulgaria
3559,BFA,Burkina Faso
3566,BDI,Burundi
3570,KHM,Cambodia
3586,CMR,Cameroon
3594,CAN,Canada
4753,CPV,Cape Verde
4757,CAF,Central African Republic
4759,CHL,Chile
5074,CHN,China
9309,COL,Colombia
9334,COG,Congo
9342,CRI,Costa Rica
9369,CIV,Cote DIvoire
9377,HRV,Croatia
9401,CUB,Cuba
9415,CYP,Cyprus
9418,CZE,Czech Republic
9880,COD,Democratic Republic of the Congo
9895,DNK,Denmark
9942,DJI,Djibouti
9943,DOM,Dominican Republic
9958,ECU,Ecuador
9980,EGY,Egypt
10042,SLV,El Salvador
10058,GNQ,Equatorial Guinea
10061,ERI,Eritrea
10063,EST,Estonia
10080,ETH,Ethiopia
10093,FJI,Fiji
10105,FIN,Finland
10290,FRA,France
12445,GUF,French Guiana
12451,GAB,Gabon
12457,GMB,Gambia
12459,GEO,Georgia
12478,DEU,Germany
13787,GHA,Ghana
13793,GRC,Greece
13883,GTM,Guatemala
13959,GIN,Guinea
13968,GNB,Guinea-Bissau
13969,GUY,Guyana
13974,HND,Honduras
14014,HUN,Hungary
14032,ISL,Iceland
14052,IND,India
15641,IDN,Indonesia
15819,IRN,Iran
15926,IRQ,Iraq
15954,IRL,Ireland
16013,ISR,Israel
16072,ITA,Italy
16468,JAM,Jamaica
16478,JPN,Japan
17000,JOR,Jordan
17033,KAZ,Kazakhstan
17066,KEN,Kenya
17089,KOS,Kosovo
17091,KWT,Kuwait
17100,KGZ,Kyrgyzstan
17108,LAO,Laos
17128,LVA,Latvia
17133,LBN,Lebanon
17140,LSO,Lesotho
17141,LBR,Liberia
17143,LBY,Libya
17155,LTU,Lithuania
17161,LUX,Luxembourg
17163,MKD,Macedonia
17175,MDG,Madagascar
17187,MWI,Malawi
17192,MYS,Malaysia
17247,MLI,Mali
17251,MRT,Mauritania
17258,MUS,Mauritius
17281,MEX,Mexico
17558,MDA,Moldova
17564,MNG,Mongolia
17572,MNE,Montenegro
17575,MAR,Morocco
17620,MOZ,Mozambique
17623,MMR,Myanmar
17658,NAM,Namibia
17671,NPL,Nepal
17685,NLD,Netherlands
17756,NZL,New Zealand
17799,NIC,Nicaragua
17815,NER,Niger
17822,NGA,Nigeria
17835,PRK,North Korea
17866,NOR,Norway
18172,OMN,Oman
18184,PAK,Pakistan
18246,PSE,Palestine
18247,PAN,Panama
18264,PNG,Papua New Guinea
18279,PRY,Paraguay
18282,PER,Peru
18314,PHL,Philippines
18437,POL,Poland
18626,PRT,Portugal
19095,QAT,Qatar
19107,ROU,Romania
19175,RUS,Russia
19720,RWA,Rwanda
19731,LCA,Saint Lucia
19732,SAU,Saudi Arabia
19822,SEN,Senegal
19832,SRB,Serbia
19844,SLE,Sierra Leone
19847,SGP,Singapore
19861,SVK,Slovakia
19891,SVN,Slovenia
19899,ZAF,South Africa
20003,KOR,South Korea
20135,ESP,Spain
20964,LKA,Sri Lanka
21012,SDN,Sudan
21031,SUR,Suriname
21032,SWZ,Swaziland
21038,SWE,Sweden
21206,CHE,Switzerland
21374,SYR,Syrian Arab Republic
21392,TWN,Taiwan
21431,TJK,Tajikistan
21441,TZA,Tanzania
21452,THA,Thailand
21648,TGO,Togo
21651,TTO,Trinidad and Tobago
21657,TUN,Tunisia
21684,TUR,Turkey
21847,TKM,Turkmenistan
21854,UGA,Uganda
21865,UKR,Ukraine
21929,ARE,United Arab Emirates
21959,GBR,United Kingdom
24710,USA,United States of America
34543,URY,Uruguay
34616,UZB,Uzbekistan
34632,VEN,Venezuela
34675,VNM,Vietnam
34911,ESH,Western Sahara
34912,YEM,Yemen
34919,ZMB,Zambia
34934,ZWE,Zimbabwe
