,pais,pct_chg_co2
9,Afghanistan,19.01140684410647
19,Albania,-10.044642857142861
29,Algeria,6.03573503776873
39,American Samoa,0.0
49,Angola,-7.8851174934725705
59,Antarctica,0.0
69,Antigua and Barbuda,1.388888888888884
79,Argentina,-1.9370708209490495
89,Armenia,3.819444444444464
99,Aruba,-4.0000000000000036
109,Australia,-1.7480510784829484
119,Austria,-3.753957485300763
129,Azerbaijan,-0.656520441659203
139,Bahrain,0.2054970459799632
149,Bangladesh,7.725169099323614
159,Barbados,6.91823899371069
169,Belarus,6.822906822906827
179,Belgium,6.7376744936657795
189,Belize,-14.705882352941192
199,Benin,10.888252148997136
209,Bermuda,2.564102564102577
219,Bhutan,11.494252873563227
229,Bolivia,1.3819789939192972
239,Bosnia and Herzegovina,-6.2940857297883905
249,Botswana,-1.118210862619795
259,Brazil,-4.645343090867026
269,British Virgin Islands,29.411764705882337
279,Brunei,4.069175991861651
289,Bulgaria,-5.847688123300088
299,Burkina Faso,9.476309226932656
309,Burma,6.320541760722342
319,Burundi,30.76923076923077
329,Cabo Verde,0.0
339,Cambodia,20.344129554655876
349,Cameroon,2.545968882602545
359,Canada,1.9437978051213944
369,Cayman Islands,-6.94444444444443
379,Central African Republic,3.703703703703698
389,Chad,4.878048780487809
399,Chile,0.17297047970479262
409,China,1.8611068703389577
419,Colombia,8.422555317630277
429,Comoros,7.14285714285714
439,Congo-Brazzaville,-7.127882599580715
449,Congo-Kinshasa,0.7633587786259444
459,Cook Islands,0.0
469,Costa Rica,0.25316455696202667
479,Croatia,-0.29069767441860517
489,Cuba,7.347328244274798
499,Cyprus,0.3658536585366079
509,Czech Republic,-1.9373648076742245
519,Côte d’Ivoire,-3.8290293855743562
529,Denmark,0.8375209380234505
539,Djibouti,4.6875
549,Dominica,5.555555555555558
559,Dominican Republic,15.072859744990886
569,Ecuador,7.512953367875652
579,Egypt,0.2938671209540056
589,El Salvador,11.727416798732172
599,Equatorial Guinea,-11.55303030303031
609,Eritrea,13.846153846153841
619,Estonia,0.5474452554744325
629,Eswatini,7.14285714285714
639,Ethiopia,7.328244274809159
649,Falkland Islands,25.0
659,Faroe Islands,3.571428571428581
669,Fiji,2.4844720496894235
679,Finland,2.0105094813799296
689,Former Czechoslovakia,0.0
699,Former Serbia and Montenegro,0.0
709,Former U.S.S.R.,0.0
719,Former Yugoslavia,0.0
729,France,-3.9274075738847003
739,French Guiana,0.0
749,French Polynesia,3.0000000000000027
759,Gabon,-15.681233933161964
769,"Gambia, The",0.0
779,Georgia,-0.4044489383215444
789,Germany,-2.9140685166322955
799,"Germany, East",0.0
809,"Germany, West",0.0
819,Ghana,14.703968770331821
829,Gibraltar,-2.3288637967537107
839,Greece,-1.8649260690022484
849,Greenland,0.0
859,Grenada,0.0
869,Guadeloupe,0.5291005291005346
879,Guam,0.0
889,Guatemala,5.740343347639487
899,Guinea,-0.33444816053512794
909,Guinea-Bissau,0.0
919,Guyana,1.7543859649122862
929,Haiti,2.976190476190488
939,Hawaiian Trade Zone,0.0
949,Honduras,14.595210946408233
959,Hong Kong,0.09244042728020485
969,Hungary,1.9789734075448484
979,Iceland,9.631728045325794
989,India,4.944602808730791
999,Indonesia,9.815798207766345
1009,Iran,4.410522897044511
1019,Iraq,10.180237942580316
1029,Ireland,2.17810862972152
1039,Israel,-4.240177909562637
1049,Italy,-0.7134085725980954
1059,Jamaica,4.129032258064513
1069,Japan,-2.665096955271762
1079,Jordan,-4.960937500000007
1089,Kazakhstan,3.666833224430177
1099,Kenya,5.992085924250978
1109,Kiribati,14.28571428571428
1119,Kosovo,1.8445322793148922
1129,Kuwait,2.290496641339068
1139,Kyrgyzstan,5.190311418685112
1149,Laos,1.97480422199523
1159,Latvia,-0.8816120906801062
1169,Lebanon,-5.243584975827442
1179,Lesotho,-2.7027027027027084
1189,Liberia,14.406779661016955
1199,Libya,4.180820486020376
1209,Lithuania,1.2784090909090828
1219,Luxembourg,4.588014981273414
1229,Macau,-18.292682926829272
1239,Madagascar,-8.378378378378383
1249,Malawi,15.267175572519086
1259,Malaysia,8.693551221226503
1269,Maldives,14.606741573033698
1279,Mali,6.477732793522262
1289,Malta,4.550625711035261
1299,Martinique,0.0
1309,Mauritania,3.743315508021383
1319,Mauritius,4.992435703479581
1329,Mexico,-3.4296602095903572
1339,Micronesia,0.0
1349,Moldova,5.976095617529875
1359,Mongolia,8.797501301405507
1369,Montenegro,9.565217391304358
1379,Montserrat,0.0
1389,Morocco,2.2518621167503916
1399,Mozambique,-27.467411545623833
1409,Namibia,-0.25510204081632404
1419,Nauru,14.28571428571428
1429,Nepal,11.994609164420499
1439,Netherlands,-2.7624557155029317
1449,Netherlands Antilles,0.0
1459,New Caledonia,13.773584905660385
1469,New Zealand,-1.591310937105339
1479,Nicaragua,-2.89575289575289
1489,Niger,3.6363636363636154
1499,Nigeria,7.603147596767323
1509,Niue,0.0
1519,North Korea,5.49738219895286
1529,North Macedonia,-5.627705627705626
1539,Northern Mariana Islands,0.0
1549,Norway,0.9281357730045015
1559,Oman,9.212609759608469
1569,Pakistan,-2.634766807995159
1579,Palestinian Territories,0.0
1589,Panama,0.4499437570303577
1599,Papua New Guinea,3.776683087027921
1609,Paraguay,4.773869346733672
1619,Peru,3.683385579937304
1629,Philippines,4.32032093812682
1639,Poland,-1.2144622991347331
1649,Portugal,-6.0393258426966305
1659,Puerto Rico,-0.19811788013869291
1669,Qatar,-6.795257476552818
1679,Reunion,0.0
1689,Romania,-1.523656776263016
1699,Russia,3.7131025572999077
1709,Rwanda,7.7669902912621325
1719,Saint Helena,0.0
1729,Saint Kitts and Nevis,0.0
1739,Saint Lucia,-8.163265306122447
1749,Saint Pierre and Miquelon,0.0
1759,Saint Vincent/Grenadines,-7.692307692307699
1769,Samoa,-3.0303030303030276
1779,Sao Tome and Principe,0.0
1789,Saudi Arabia,-2.779727162247747
1799,Senegal,3.463203463203457
1809,Serbia,-1.7133305474300031
1819,Seychelles,-11.538461538461553
1829,Sierra Leone,-1.0000000000000009
1839,Singapore,2.684281386738463
1849,Slovakia,0.3198604245420178
1859,Slovenia,1.7857142857142794
1869,Solomon Islands,6.25
1879,Somalia,0.0
1889,South Africa,-3.9884478360773246
1899,South Korea,2.120983206461746
1909,South Sudan,3.703703703703698
1919,Spain,-1.2504201680672344
1929,Sri Lanka,-2.9774564015312754
1939,Sudan,-1.34336378291241
1949,Suriname,0.0
1959,Sweden,-7.213243988963347
