,carbon_cons,gas_cons,petroleo_cons,pais_iso,anio
203,0.74,109.44,66.2,DZA,1980
204,0.52,142.26,71.32,DZA,1981
205,9.71,161.41,75.57,DZA,1982
206,8.66,176.72,84.89,DZA,1983
207,9.61,155.25,94.0,DZA,1984
208,10.02,153.81,96.55,DZA,1985
209,10.29,168.44,98.02,DZA,1986
210,12.3,172.29,99.1,DZA,1987
211,11.57,194.14,99.17,DZA,1988
212,9.78,182.68,103.94,DZA,1989
213,7.66,195.1,111.81,DZA,1990
214,7.91,192.69,110.63,DZA,1991
215,9.4,198.95,111.29,DZA,1992
216,7.65,178.54,110.76,DZA,1993
217,7.21,188.17,106.05,DZA,1994
218,7.21,202.22,103.14,DZA,1995
219,3.4,207.71,98.42,DZA,1996
220,5.96,194.04,97.64,DZA,1997
221,6.37,200.68,100.66,DZA,1998
222,6.83,205.11,98.9,DZA,1999
223,5.64,191.01,103.13,DZA,2000
224,6.51,197.32,106.78,DZA,2001
225,8.55,194.84,118.4,DZA,2002
226,7.05,205.93,123.17,DZA,2003
227,8.41,211.9,128.75,DZA,2004
228,6.91,223.56,134.21,DZA,2005
229,10.26,228.5,139.85,DZA,2006
230,8.8,233.81,156.39,DZA,2007
231,8.8,244.04,169.92,DZA,2008
232,5.65,262.12,180.13,DZA,2009
233,3.6,253.27,181.61,DZA,2010
234,3.2,267.97,192.23,DZA,2011
235,3.4,298.74,204.4,DZA,2012
236,1.84,321.21,213.58,DZA,2013
237,2.08,360.92,221.92,DZA,2014
238,1.55,379.22,236.15,DZA,2015
239,0.57,385.96,229.56,DZA,2016
240,2.12,394.62,225.51,DZA,2017
241,5.82,434.09,229.53,DZA,2018
242,4.8,450.55,237.49,DZA,2019
243,4.82,436.01,211.64,DZA,2020
244,4.8,458.15,219.84,DZA,2021
409,11.14,112.13,296.98,ARG,1980
410,10.56,117.19,278.57,ARG,1981
411,10.67,133.14,265.02,ARG,1982
412,9.68,143.15,268.75,ARG,1983
413,7.18,152.39,255.6,ARG,1984
414,10.6,155.7,237.52,ARG,1985
415,12.11,168.24,249.72,ARG,1986
416,13.44,168.34,266.55,ARG,1987
417,13.77,196.64,268.33,ARG,1988
418,14.9,206.56,246.32,ARG,1989
419,12.27,197.32,229.96,ARG,1990
420,10.79,200.92,240.26,ARG,1991
421,12.17,217.26,252.69,ARG,1992
422,8.07,229.41,247.75,ARG,1993
423,7.06,235.83,261.48,ARG,1994
424,7.41,262.48,259.53,ARG,1995
425,7.77,301.18,259.8,ARG,1996
426,6.13,277.55,275.29,ARG,1997
427,8.24,296.71,283.27,ARG,1998
428,9.88,314.7,286.96,ARG,1999
429,7.51,322.97,264.9,ARG,2000
430,6.16,302.35,245.3,ARG,2001
431,4.59,294.38,232.82,ARG,2002
432,5.59,336.29,237.42,ARG,2003
433,9.52,368.09,254.69,ARG,2004
434,10.96,392.89,266.76,ARG,2005
435,9.92,406.5,281.35,ARG,2006
436,14.36,427.12,313.75,ARG,2007
437,17.52,431.89,317.05,ARG,2008
438,9.62,418.36,303.06,ARG,2009
439,13.47,420.87,328.16,ARG,2010
440,14.62,438.4,340.01,ARG,2011
441,13.67,456.64,361.26,ARG,2012
442,14.94,460.28,383.78,ARG,2013
443,15.89,461.55,379.92,ARG,2014
444,15.81,466.53,387.31,ARG,2015
445,12.19,482.1,375.29,ARG,2016
446,12.52,483.0,370.9,ARG,2017
447,13.71,487.02,353.21,ARG,2018
448,8.12,465.59,324.72,ARG,2019
449,10.02,439.31,297.38,ARG,2020
450,18.25,459.35,340.6,ARG,2021
677,324.76,110.67,367.77,AUS,1980
678,333.14,119.94,362.42,AUS,1981
679,336.68,116.98,356.85,AUS,1982
680,336.56,127.08,320.08,AUS,1983
681,355.9,125.32,330.98,AUS,1984
682,368.14,133.95,332.8,AUS,1985
683,377.49,146.33,328.15,AUS,1986
684,393.36,149.4,336.67,AUS,1987
685,413.76,152.99,351.97,AUS,1988
686,433.96,166.88,366.52,AUS,1989
687,444.35,167.76,374.88,AUS,1990
688,453.26,160.82,362.62,AUS,1991
689,455.96,166.37,370.55,AUS,1992
690,458.89,172.49,382.05,AUS,1993
691,468.26,191.57,395.59,AUS,1994
692,484.17,193.42,427.78,AUS,1995
693,503.96,194.83,439.02,AUS,1996
694,529.46,191.3,446.06,AUS,1997
695,553.08,196.95,445.97,AUS,1998
696,587.44,201.74,456.15,AUS,1999
697,591.66,205.55,455.98,AUS,2000
698,585.69,221.69,457.08,AUS,2001
699,598.87,228.15,461.98,AUS,2002
700,616.02,229.94,460.26,AUS,2003
701,641.92,234.54,471.3,AUS,2004
702,638.22,232.59,478.7,AUS,2005
703,655.5,259.43,493.64,AUS,2006
704,649.8,290.2,506.27,AUS,2007
705,677.29,285.35,512.72,AUS,2008
706,654.86,291.36,504.14,AUS,2009
707,607.39,317.06,519.31,AUS,2010
708,592.06,327.94,547.06,AUS,2011
709,554.47,329.61,561.42,AUS,2012
710,526.24,346.74,578.04,AUS,2013
711,521.89,372.21,575.43,AUS,2014
712,540.41,387.96,570.58,AUS,2015
713,540.06,378.71,571.72,AUS,2016
714,521.53,371.14,599.58,AUS,2017
715,508.88,367.68,610.11,AUS,2018
716,486.39,439.22,604.19,AUS,2019
717,468.52,430.96,522.17,AUS,2020
718,452.97,394.07,536.35,AUS,2021
759,42.84,48.07,143.89,AUT,1980
760,43.85,45.82,130.63,AUT,1981
761,41.71,44.36,123.9,AUT,1982
762,44.66,45.26,120.08,AUT,1983
763,50.89,50.39,116.8,AUT,1984
764,50.82,53.99,116.99,AUT,1985
765,45.3,52.42,123.22,AUT,1986
766,44.94,54.69,126.86,AUT,1987
767,43.03,52.38,125.98,AUT,1988
768,43.23,56.26,124.22,AUT,1989
769,47.64,61.94,128.7,AUT,1990
770,49.97,65.66,138.9,AUT,1991
771,38.88,64.48,135.23,AUT,1992
772,34.96,67.81,136.36,AUT,1993
773,35.45,69.75,135.24,AUT,1994
774,40.34,76.16,134.86,AUT,1995
775,40.51,81.06,139.54,AUT,1996
776,42.97,78.13,141.73,AUT,1997
777,37.83,80.21,147.18,AUT,1998
778,37.57,81.93,144.65,AUT,1999
779,42.48,78.2,141.75,AUT,2000
780,43.88,82.88,153.69,AUT,2001
781,44.58,81.48,156.82,AUT,2002
782,47.55,89.63,169.94,AUT,2003
783,46.58,90.49,165.33,AUT,2004
784,46.44,95.28,164.63,AUT,2005
785,46.4,89.53,164.51,AUT,2006
786,44.86,84.71,154.66,AUT,2007
787,44.32,90.69,153.21,AUT,2008
788,33.39,88.32,145.45,AUT,2009
789,39.26,96.13,151.92,AUT,2010
790,40.32,90.42,141.78,AUT,2011
791,37.46,86.24,141.64,AUT,2012
792,38.1,82.0,146.15,AUT,2013
793,34.9,75.11,140.16,AUT,2014
794,37.71,79.68,139.68,AUT,2015
795,34.98,83.42,144.47,AUT,2016
796,36.49,90.7,146.35,AUT,2017
797,32.21,86.87,147.76,AUT,2018
798,33.89,89.0,152.83,AUT,2019
799,28.98,85.28,132.9,AUT,2020
800,31.2,90.14,136.15,AUT,2021
801,1.07,132.81,97.19,AZE,1985
802,1.07,147.57,101.82,AZE,1986
803,1.07,145.75,95.83,AZE,1987
804,1.07,143.93,98.14,AZE,1988
805,1.07,151.22,95.7,AZE,1989
806,1.03,154.22,100.4,AZE,1990
807,0.78,147.57,96.8,AZE,1991
808,0.14,114.77,94.32,AZE,1992
809,0.04,84.72,94.06,AZE,1993
810,0.05,79.25,86.16,AZE,1994
811,0.04,78.33,77.68,AZE,1995
