,carbon_produccion,gas_produccion,petroleo_produccion,pais_iso,anio
0,0.69,18.43,0.0,AFG,1980
1,0.73,24.26,0.0,AFG,1981
2,0.84,24.88,0.0,AFG,1982
3,0.84,26.1,0.0,AFG,1983
4,0.86,26.1,0.0,AFG,1984
5,0.88,32.25,0.0,AFG,1985
6,0.93,32.25,0.0,AFG,1986
7,0.97,30.4,0.0,AFG,1987
8,0.8,32.55,0.0,AFG,1988
9,0.74,31.94,0.0,AFG,1989
10,0.61,31.94,0.0,AFG,1990
11,0.55,3.38,0.0,AFG,1991
12,0.05,3.25,0.0,AFG,1992
13,0.04,3.25,0.0,AFG,1993
14,0.04,3.25,0.0,AFG,1994
15,0.03,2.17,0.0,AFG,1995
16,0.02,2.5,0.0,AFG,1996
17,0.01,2.5,0.0,AFG,1997
18,0.01,2.5,0.0,AFG,1998
19,0.01,2.5,0.0,AFG,1999
20,0.01,2.5,0.0,AFG,2000
21,0.15,0.54,0.0,AFG,2001
22,0.12,0.54,0.0,AFG,2002
23,0.2,0.22,0.0,AFG,2003
24,0.2,0.22,0.0,AFG,2004
25,0.19,0.22,0.0,AFG,2005
26,0.2,0.22,0.0,AFG,2006
27,1.41,0.43,0.0,AFG,2007
28,2.02,0.54,0.0,AFG,2008
29,2.9,0.32,0.0,AFG,2009
30,4.21,1.54,0.0,AFG,2010
31,8.59,1.75,0.0,AFG,2011
32,7.2,1.74,0.0,AFG,2012
33,7.82,1.68,0.0,AFG,2013
34,8.81,1.54,0.0,AFG,2014
35,7.92,1.59,0.0,AFG,2015
36,9.86,1.79,0.0,AFG,2016
37,,,,AFG,2017
38,,,,AFG,2018
39,,,,AFG,2019
40,,,,AFG,2020
41,835.2,248.3,3492.49,,1980
42,909.9,264.75,2773.14,,1981
43,998.71,325.11,2666.06,,1982
44,1011.87,436.96,2702.35,,1983
45,1128.45,458.65,2885.78,,1984
46,1198.91,505.68,3000.33,,1985
47,1229.49,530.14,2991.71,,1986
48,1230.78,578.98,2997.64,,1987
49,1264.93,617.53,3124.96,,1988
50,1228.45,677.41,3449.03,,1989
51,1221.23,721.59,3696.37,,1990
52,1245.41,773.45,3834.6,,1991
53,1273.73,808.28,3907.3,,1992
54,1297.1,833.41,3856.36,,1993
55,1348.11,789.65,3848.59,,1994
56,1416.7,872.7,3910.95,,1995
57,1412.35,933.32,4037.57,,1996
58,1502.27,1041.61,4131.45,,1997
59,1522.45,1109.32,4145.35,,1998
60,1519.83,1216.73,4028.15,,1999
61,1518.35,1351.01,4319.32,,2000
62,1514.54,1388.41,4275.98,,2001
63,1489.18,1449.42,4304.74,,2002
