pais,pbi,anio,co2,pct_chg_co2,cumplimiento,carbon_produccion,gas_produccion,petroleo_produccion,pais_iso,pct_carbon,pct_gas,pct_petroleo,cpm_carbon,cpm_gas,cpm_petroleo
China,23128.34,2019,10608.6,29.307886018522368,-165.12863559671638,22154.44,1767.41,2228.63,CHN,6520.973670840679,4.108596538765119,-27.26545824820662,-6964.182811411241,-109.13021453058916,-54.557569586322295
United States,19925.43,2019,5277.19,-2.340450731541221,-94.79899837435283,3969.05,9281.11,8721.28,USA,22776.36887608069,2270.290632342425,1347.1790787202974,-24075.125132716516,-5145.090294094278,-2345.2984645338292
India,9310.29,2019,2308.33,49.2567327276842,-209.45940606152047,3498.88,269.06,435.97,IND,30193.333333333332,404.7083098855749,244.64031620553362,-31882.456140350878,-999.351799745722,-507.73386034255606
Russia,3770.42,2019,1798.24,19.437562683067775,-143.19458374015062,2563.6,6790.45,6668.51,RUS,5512.084063047286,6956.479268419412,15976.44648023144,-5902.193750576091,-15558.842818709803,-26727.410800385736
Japan,5359.05,2019,1140.95,-0.3432674166724991,-99.23718351850556,4.89,,,JPN,-99.8841945720646,0.0,0.0,5.141257444278527,-100.0,-100.0
Germany,4182.05,2019,781.6,-0.0166297826615369,-99.9630449274188,330.53,53.31,,DEU,111.55273937532,-91.7907574800967,0.0,-217.42393618454741,103.97946106688156,-100.0
South Korea,2160.64,2019,702.96,26.42483319245365,-158.7218515387859,5.96,,,KOR,-99.64368558241863,0.0,0.0,4.888090086756449,-100.0,-100.0
Iran,1099.27,2019,642.96,20.386458957459563,-145.30324212768792,,2329.0,1841.35,IRN,0.0,244.6132903244899,314.92406147190053,-100.0,-643.5850896099776,-624.8734357865009
Canada,1737.87,2019,613.09,13.23113860928986,-129.40253024286633,334.61,1697.66,3064.06,CAN,489.93300423131177,559.3878660762838,74.24777502914498,-615.7189518224334,-1343.0841468361862,-223.7462917152416
Saudi Arabia,1771.04,2019,567.99,28.51324750548678,-163.36277223441508,,1111.5,6472.84,SAU,0.0,-83.63142354335868,-2.9342386830041534,-100.0,85.84760787413039,-95.10960219499309
Indonesia,3227.67,2019,529.4,45.671674646414594,-201.49261032536575,4222.6,675.83,443.78,IDN,20.684333272361457,151.18189251468075,1.7914076656650568,-121.77298239195945,-435.959761143735,-102.98567944277511
Mexico,2384.14,2019,456.15,1.0589981611538235,-102.3533292470085,64.02,312.95,1104.85,MEX,-88.8767266093302,-59.06046414274875,210.84883099344452,-6.445550937547153,31.245475872774996,-451.41471832240745
South Africa,785.22,2019,455.45,-1.6604050611046306,-96.31021097532305,1672.68,,,ZAF,1988.5004370083657,0.0,0.0,-2193.158354745648,-100.0,-100.0
Brazil,3041.3,2019,453.44,27.53557968161107,-161.19017707024682,25.14,257.46,1758.45,BRA,-99.3131954442511,71.40003994407826,297.9474065357111,4.540205730790625,-258.666755431285,-596.5790108928518
United Kingdom,2992.82,2019,411.17,-20.834456467326422,-53.70120785038572,17.35,391.56,602.64,GBR,-89.57081029093533,-31.921552263717924,-71.29916703576174,-5.71493653585755,-29.063217191737944,18.8319450596029
Australia,1226.59,2019,410.87,0.8492673228442937,-101.88726071743174,3660.43,1461.14,221.95,AUS,,251.1089751291602,-33.81541672879082,,-658.019944731467,-43.640972118681965
Turkey,2338.02,2019,397.8,47.05012568386813,-204.55583485304027,201.77,,,TUR,391.28317506695885,0.0,0.0,-511.8770263862725,-100.0,-100.0
France,2918.62,2019,341.98,-11.543933162618655,-74.34681519418076,,,,FRA,0.0,0.0,0.0,-100.0,-100.0,-100.0
Italy,2340.37,2019,339.58,-16.771647753731532,-62.72967165837437,,46.21,49.76,ITA,0.0,-57.864502598705215,-98.17326118400283,-100.0,28.587783552678253,63.62210197333804
Poland,1217.99,2019,319.67,6.659771112075008,-114.79949136016668,518.82,39.85,,POL,1307.9240162822255,-70.47273266152934,0.0,-1476.7621224023426,56.606072581176306,-100.0
Thailand,1248.42,2019,303.67,16.818618965185617,-137.37470881152362,41.07,357.73,196.87,THA,5939.7058823529405,-67.81556455240664,376.2215771649734,-6352.321981424147,50.70125456090365,-727.0359619416223
Spain,1796.29,2019,293.78,-7.105138339920957,-84.21080368906453,0.68,,,ESP,-88.59060402684563,0.0,0.0,-6.746732603320395,-100.0,-100.0
Taiwan,1232.27,2019,283.19,16.895071410880867,-137.54460313529083,,,,TWN,0.0,0.0,0.0,-100.0,-100.0,-100.0
United Arab Emirates,663.29,2019,274.04,29.673969620971956,-165.94215471327098,,575.16,2099.73,ARE,0.0,196.4589454151848,1378.2666854407212,-100.0,-536.5754342559662,-2397.111142401202
Kazakhstan,464.79,2019,269.71,9.651583526446306,-121.44796339210288,575.55,330.72,1058.84,KAZ,11669.938650306749,615.6892447522182,2027.8938906752412,-12384.145947691315,-1468.198321671596,-3479.8231511254016
Malaysia,908.76,2019,247.43,38.95877794002023,-186.57506208893383,,764.42,355.43,MYS,0.0,467.0771513353115,-47.136164200193356,-100.0,-1137.9492251895813,-21.439726333011073
Singapore,545.4,2019,244.06,26.567442825286516,-159.03876183397006,,,,SGP,0.0,0.0,0.0,-100.0,-100.0,-100.0
Vietnam,915.5,2019,241.81,121.92547723935392,-370.9455049763421,302.11,98.43,133.07,VNM,8945.209580838326,-61.514701282452286,-78.02021736975983,-9516.010085092974,36.6993361832273,30.033695616266392
Egypt,1291.81,2019,235.49,26.70289465188851,-159.33976589308557,,649.39,369.97,EGY,0.0,1927.4430221667185,11.773413897280971,-100.0,-4383.206715926041,-119.62235649546828
Netherlands,934.92,2019,216.83,-8.58383574349677,-80.92480945889606,,278.44,,NLD,0.0,-11.027320658252115,0.0,-100.0,-75.49484298166198,-100.0
Ukraine,487.7,2019,202.51,-24.034061069847706,-46.59097540033844,166.36,194.01,,UKR,-17.549685285225745,-69.284232857844,0.0,-81.52664706818342,53.964961906320006,-100.0
Pakistan,1039.88,2019,192.9,36.89589099425166,-181.9908688761148,36.85,326.93,,PAK,65.84158415841586,-10.893976560370666,0.0,-169.30693069306932,-75.7911631991763,-100.0
Argentina,833.5,2019,191.36,13.61396425814878,-130.2532539069973,,416.15,335.35,ARG,,-52.140261293587265,-58.2524150980978,,15.86724731908281,-2.9126415031703345
Iraq,426.22,2019,154.66,54.27431421446385,-220.609587143253,,109.67,2723.98,IRQ,0.0,-95.29111206526406,47.933852879680686,-100.0,111.7580268116979,-179.8897547994678
Algeria,509.07,2019,145.99,46.90078486617026,-204.22396636926723,,869.52,748.16,DZA,,,,,,
Philippines,949.71,2019,135.22,88.14526227911506,-295.8783606202557,,,,PHL,0.0,0.0,0.0,-100.0,-100.0,-100.0
Belgium,557.63,2019,132.28,4.182090257541149,-109.293533905647,,,,BEL,0.0,0.0,0.0,-100.0,-100.0,-100.0
Venezuela,190.15,2019,131.49,-3.023821815768124,-93.28039596495972,3.34,255.76,605.42,VEN,-75.13030528667163,-55.48748651188695,1628.7835522558535,-20.915468119293024,23.305525581970997,-2814.639253759756
Qatar,247.05,2019,105.34,72.91529875246225,-262.0339972276939,,1771.52,836.07,QAT,0.0,4345.470514429109,1077.5633802816901,-100.0,-9756.601143175798,-1895.9389671361503
Czech Republic,410.04,2019,104.27,-4.567087680761494,-89.85091626497446,156.24,,,CZE,-77.03737452418395,0.0,0.0,-18.90802681664848,-100.0,-100.0
Nigeria,1015.89,2019,101.19,133.96531791907512,-397.7007064868336,,492.79,1175.88,NGA,0.0,76.98247378250251,6.428927003665685,-100.0,-271.0721639611167,-110.71487833944282
Uzbekistan,257.44,2019,99.39,-7.466716320640532,-83.40729706524327,13.43,574.58,35.02,UZB,-99.66163187664554,-93.80914567330846,-99.59845343802745,4.906980922784783,108.46476816290769,65.99742239671241
Turkmenistan,110.94,2019,97.31,103.2372598162072,-329.4161329249049,,631.63,142.04,TKM,0.0,82.75802204797313,550.0686498855835,-100.0,-283.9067156621625,-1016.781083142639
Kuwait,180.99,2019,92.89,10.202871040455562,-122.67304675656791,,181.55,1667.53,KWT,0.0,-45.10462022254475,57.4864946545276,-100.0,0.23248938343278444,-195.81082442421268
Bangladesh,798.11,2019,90.78,57.35829433177329,-227.46287629282955,,252.84,,BGD,0.0,55.44079675396534,0.0,-100.0,-223.20177056436745,-100.0
Chile,439.69,2019,86.87,27.20749743739932,-160.46110541644293,,,,CHL,0.0,0.0,0.0,-100.0,-100.0,-100.0
Colombia,690.99,2019,75.95,47.84893906949584,-206.33097570999075,680.41,126.18,542.61,COL,-96.9287871866768,-92.86073972649244,-75.65275528014969,2.0303023017650528,106.35719939220543,26.08792546691615
Oman,141.21,2019,75.87,75.62500000000001,-268.0555555555556,,366.9,550.43,OMN,0.0,-67.8890250306319,-40.67491539307194,-100.0,50.86450006807088,-32.208474344880095
Romania,522.9,2019,73.68,-8.244084682440834,-81.67981181679814,45.68,96.23,41.48,ROU,-91.19540495740334,-94.56794165462428,-95.03869293240996,-4.004836886943853,110.15098145472062,58.397821554016595
Greece,300.59,2019,73.67,-27.25387577762417,-39.43583160527962,35.91,,,GRC,-89.13563065379844,0.0,0.0,-6.17302036442269,-100.0,-100.0
Israel,349.75,2019,64.59,-0.9659613615455308,-97.85341919656548,,,,ISR,0.0,0.0,0.0,-100.0,-100.0,-100.0
Austria,467.71,2019,63.84,-0.3434280362160424,-99.23682658618658,,,,AUT,0.0,0.0,0.0,-100.0,-100.0,-100.0
Morocco,275.65,2019,59.03,37.79178338001867,-183.98174084448596,,,,MAR,0.0,0.0,0.0,-100.0,-100.0,-100.0
Belarus,178.89,2019,56.52,-7.115858668857844,-84.18698073587146,,,,BLR,0.0,0.0,0.0,-100.0,-100.0,-100.0
Portugal,342.7,2019,53.52,-5.257567711099309,-88.31651619755708,,,,PRT,0.0,0.0,0.0,-100.0,-100.0,-100.0
Peru,402.28,2019,52.92,45.185185185185176,-200.41152263374485,,134.96,71.0,PER,0.0,-58.71899183311412,-87.10099376850826,-100.0,30.486648518031373,45.168322947513765
Hungary,309.95,2019,49.47,-2.2911317400750586,-94.90859613316654,11.55,,,HUN,-67.83625730994152,0.0,0.0,-28.593413357956297,-100.0,-100.0
Sweden,524.62,2019,47.08,-9.791147729450088,-78.24189393455536,,,,SWE,0.0,0.0,0.0,-100.0,-100.0,-100.0
Serbia,121.69,2019,47.04,-0.5076142131979711,-98.87196841511565,80.09,,,SRB,-96.87587767202372,0.0,0.0,1.9746080758144415,-100.0,-100.0
Finland,253.0,2019,44.65,-11.232604373757448,-75.03865694720567,,,,FIN,0.0,0.0,0.0,-100.0,-100.0,-100.0
Bulgaria,149.25,2019,41.54,-1.7966903073285967,-96.00735487260312,56.72,,,BGR,125.6165473349244,0.0,0.0,-232.22794456307832,-100.0,-100.0
Trinidad and Tobago,33.98,2019,40.49,-12.831001076426263,-71.4866642746083,,345.61,42.57,TTO,0.0,-3.3880300785508632,-78.37659369126835,-100.0,-92.47104426988697,30.627656152113925
Libya,84.25,2019,39.87,-24.474332259897714,-45.61259497800508,,134.8,672.35,LBY,0.0,-25.750481960892312,-59.679885819145674,-100.0,-42.77670675357264,-0.5335236347572092
Bahrain,70.45,2019,39.01,26.32772020725389,-158.50604490500865,,162.66,,BHR,0.0,-32.04946110786197,0.0,-100.0,-28.778975315862283,-100.0
New Zealand,198.66,2019,38.96,10.87080250426864,-124.15733889837476,22.22,,,NZL,-92.64992888095001,0.0,0.0,-2.4737590726841954,-100.0,-100.0
Switzerland,590.96,2019,38.84,-10.486287162940766,-76.6971396379094,,,,CHE,0.0,0.0,0.0,-100.0,-100.0,-100.0
Norway,330.28,2019,38.06,-12.926103866392124,-71.27532474135083,,1142.6,927.82,NOR,0.0,131.86347125550432,-21.095690036398274,-100.0,-393.02993612334296,-64.84051660600288
Ecuador,183.66,2019,37.35,30.41201117318435,-167.5822470515208,,,331.0,ECU,0.0,0.0,467.2664952870608,-100.0,-100.0,-878.7774921451014
Ireland,416.23,2019,37.06,-2.4993422783477937,-94.445906048116,,,,IRL,0.0,0.0,0.0,-100.0,-100.0,-100.0
Denmark,308.22,2019,36.12,-25.968436154949792,-42.29236410011158,,32.03,58.35,DNK,0.0,-74.61562846726898,-89.24642008072095,-100.0,65.81250770504217,48.744033467868256
Slovakia,181.39,2019,34.5,-3.7119732068099274,-91.75117065153349,,,,SVK,0.0,0.0,0.0,-100.0,-100.0,-100.0
Azerbaijan,145.71,2019,33.29,14.163237311385446,-131.47386069196764,,239.38,441.88,AZE,0.0,-83.6169018711417,99.08988510925884,-100.0,85.815337491426,-265.1498085154314
Laos,53.3,2019,29.95,3789.6103896103896,-8521.35642135642,,,,LAO,0.0,0.0,0.0,-100.0,-100.0,-100.0
Panama,118.86,2019,26.79,66.1910669975186,-247.0912599944858,,,,PAN,0.0,0.0,0.0,-100.0,-100.0,-100.0
Lebanon,92.46,2019,25.48,31.611570247933884,-170.2479338842975,,,,LBN,0.0,0.0,0.0,-100.0,-100.0,-100.0
Tunisia,122.68,2019,25.33,39.09939593629872,-186.88754652510823,,,21.85,TUN,0.0,0.0,-48.6727742541696,-100.0,-100.0,-18.878709576383994
Dominican Republic,190.15,2019,25.27,42.1259842519685,-193.6132983377078,,,,DOM,0.0,0.0,0.0,-100.0,-100.0,-100.0
Jordan,94.78,2019,24.33,29.20870950610728,-164.90824334690507,,,,JOR,0.0,0.0,0.0,-100.0,-100.0,-100.0
Sri Lanka,276.99,2019,22.81,74.12213740458016,-264.715860899067,,,,LKA,0.0,0.0,0.0,-100.0,-100.0,-100.0
Cuba,152.23,2019,22.5,-22.997946611909647,-48.89345197353412,,,,CUB,0.0,0.0,0.0,-100.0,-100.0,-100.0
Mongolia,39.25,2019,20.9,35.18758085381628,-178.19462411959174,302.31,,,MNG,372.21180880974697,0.0,0.0,-491.80190401025993,-100.0,-100.0
North Korea,43.14,2019,20.15,-67.81150159744409,50.692225772097984,,,,PRK,0.0,0.0,0.0,-100.0,-100.0,-100.0
Guatemala,144.9,2019,19.71,68.31767719897523,-251.8170604421672,,,,GTM,0.0,0.0,0.0,-100.0,-100.0,-100.0
Kenya,211.47,2019,18.75,65.92920353982299,-246.50934119960667,,,,KEN,0.0,0.0,0.0,-100.0,-100.0,-100.0
Sudan,187.63,2019,18.36,2.0000000000000018,-104.44444444444446,,,41.34,SDN,0.0,0.0,-99.36133134760013,-100.0,-100.0,65.60221891266687
Bolivia,89.75,2019,18.34,43.95604395604396,-197.68009768009767,,150.21,,BOL,0.0,-40.59088751779781,0.0,-100.0,-9.798027738227088,-100.0
Angola,193.83,2019,17.64,42.834008097166,-195.18668466036888,,,803.28,AGO,,0.0,7.36740804106073,,-100.0,-112.27901340176787
Ghana,183.35,2019,17.63,135.06666666666666,-400.14814814814815,,,,GHA,0.0,0.0,0.0,-100.0,-100.0,-100.0
Bosnia and Herzegovina,47.11,2019,17.27,13.76811594202898,-130.59581320450886,,,,BIH,0.0,0.0,0.0,-100.0,-100.0,-100.0
Croatia,110.29,2019,17.15,-15.308641975308646,-65.98079561042523,,,,HRV,0.0,0.0,0.0,-100.0,-100.0,-100.0
Lithuania,97.41,2019,14.26,4.930095658572475,-110.95576813016106,,,,LTU,0.0,0.0,0.0,-100.0,-100.0,-100.0
Slovenia,76.49,2019,14.25,-7.286922576447619,-83.80683871900528,,,,SVN,0.0,0.0,0.0,-100.0,-100.0,-100.0
Ethiopia,231.94,2019,14.06,99.4326241134752,-320.96138691883374,,,,ETH,0.0,0.0,0.0,-100.0,-100.0,-100.0
Cambodia,69.19,2019,11.89,175.8700696055685,-490.8223769012633,,,,KHM,0.0,0.0,0.0,-100.0,-100.0,-100.0
Tanzania,153.35,2019,11.48,69.0721649484536,-253.4936998854525,,,,TZA,0.0,0.0,0.0,-100.0,-100.0,-100.0
Luxembourg,66.22,2019,11.17,-2.189141856392296,-95.13524031912824,,,,LUX,0.0,0.0,0.0,-100.0,-100.0,-100.0
Honduras,51.04,2019,10.05,47.79411764705883,-206.2091503267974,,,,HND,0.0,0.0,0.0,-100.0,-100.0,-100.0
Georgia,53.44,2019,9.85,46.57738095238096,-203.505291005291,,,,GEO,0.0,0.0,0.0,-100.0,-100.0,-100.0
Senegal,54.87,2019,9.56,59.86622073578596,-233.03604607952437,,,,SEN,0.0,0.0,0.0,-100.0,-100.0,-100.0
Afghanistan,79.45,2019,9.39,50.7223113964687,-212.71624754770824,,,,AFG,,,,,,
Kyrgyzstan,29.77,2019,9.12,-1.2987012987013102,-97.11399711399709,,,,KGZ,0.0,0.0,0.0,-100.0,-100.0,-100.0
Zimbabwe,37.62,2019,8.96,21.081081081081088,-146.8468468468469,19.7,,,ZWE,-93.47919631922149,0.0,0.0,-1.6008459797668562,-100.0,-100.0
Paraguay,86.3,2019,8.34,103.41463414634148,-329.8102981029811,,,,PRY,0.0,0.0,0.0,-100.0,-100.0,-100.0
Nepal,101.27,2019,8.31,182.65306122448985,-505.8956916099774,,,,NPL,0.0,0.0,0.0,-100.0,-100.0,-100.0
Yemen,53.08,2019,8.29,-60.42959427207637,34.28798727128083,,3.01,47.39,YEM,0.0,-96.94198923092553,-64.3871646501841,-100.0,115.42664273539008,7.311941083640174
Cyprus,33.83,2019,8.23,-10.73752711496746,-76.13882863340564,,,,CYP,0.0,0.0,0.0,-100.0,-100.0,-100.0
Jamaica,26.75,2019,8.07,-13.5048231511254,-69.989281886388,,,,JAM,0.0,0.0,0.0,-100.0,-100.0,-100.0
Moldova,30.94,2019,7.98,26.465927099841547,-158.81317133298123,,,,MDA,0.0,0.0,0.0,-100.0,-100.0,-100.0
Costa Rica,94.36,2019,7.92,17.507418397626108,-138.9053742169469,,,,CRI,0.0,0.0,0.0,-100.0,-100.0,-100.0
Latvia,55.59,2019,7.87,-6.753554502369664,-84.99210110584518,,,,LVA,0.0,0.0,0.0,-100.0,-100.0,-100.0
Mozambique,38.11,2019,7.79,210.35856573705183,-567.4634794156708,,,,MOZ,0.0,0.0,0.0,-100.0,-100.0,-100.0
Benin,38.02,2019,7.74,72.0,-260.0,,,,BEN,0.0,0.0,0.0,-100.0,-100.0,-100.0
Uruguay,78.08,2019,7.31,-19.493392070484585,-56.6813509544787,,,,URY,0.0,0.0,0.0,-100.0,-100.0,-100.0
Cameroon,88.91,2019,7.25,49.79338842975207,-210.65197428833795,,,,CMR,0.0,0.0,0.0,-100.0,-100.0,-100.0
Zambia,247.18,2019,7.1,200.84745762711864,-546.3276836158192,,,,ZMB,0.0,0.0,0.0,-100.0,-100.0,-100.0
El Salvador,52.96,2019,7.05,19.49152542372881,-143.31450094161957,,,,SLV,0.0,0.0,0.0,-100.0,-100.0,-100.0
Mauritius,27.96,2019,6.94,58.4474885844749,-229.8833079654998,,,,MUS,0.0,0.0,0.0,-100.0,-100.0,-100.0
Tajikistan,35.11,2019,6.87,178.1376518218623,-495.86144849302747,,,,TJK,0.0,0.0,0.0,-100.0,-100.0,-100.0
Papua New Guinea,32.45,2019,6.32,97.5,-316.66666666666663,,,,PNG,0.0,0.0,0.0,-100.0,-100.0,-100.0
Botswana,36.98,2019,6.19,48.086124401913885,-206.8580542264753,,,,BWA,0.0,0.0,0.0,-100.0,-100.0,-100.0
Armenia,35.56,2019,5.98,-40.43824701195218,-10.137228862328492,,,,ARM,,0.0,0.0,,-100.0,-100.0
Uganda,103.11,2019,5.87,77.87878787878788,-273.06397306397304,,,,UGA,0.0,0.0,0.0,-100.0,-100.0,-100.0
Estonia,45.2,2019,5.51,7.198443579766534,-115.99654128837008,,,,EST,0.0,0.0,0.0,-100.0,-100.0,-100.0
